Login,Name,Website on GitHub,Email,Sub-tier,Sub-tier_URL,Department/Independent Agency,Department/Independent Agency_URL,Notes,Other Websites
usda-ars-nwrc,USDA ARS Northwest Watershed Research Center,,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
usda-ars-wmsru,USDA-ARS-WMSRU,,,Agriculture Research Service,https://www.ars.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
USDA-ERS,Economic Research Service,http://ers.usda.gov,,Economic Research Service,https://www.ers.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
USDA-FSA,USDA - Farm Production and Conservation (FPAC),https://www.usda.gov/,,Farm Service Agency,https://www.fsa.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,"FPAC is the USDA's focal point for farmers, ranchers, and stewards of private agricultural lands and non-industrial private forest lands. FSA, NRCS, RMA",
USDA-NIFA,USDA-NIFA,,,National Institute of Food and Agriculture,https://nifa.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,,
usda-vs,USDA-VS,,tod.p.stuber@usda.gov,Animal and Plant Health Inspection Service,https://www.aphis.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,USDA-Veterinary Services,
usdaForestService,USDA Forest Service,http://www.fs.fed.us/,,U.S. Forest Service,https://www.fs.usda.gov/,U.S. Department of Agriculture,https://www.usda.gov,We are a multi-faceted agency that manages and protects 154 national forests and 20 grasslands in 43 states and Puerto Rico.,
usdepartmentoflabor,USDepartmentofLabor,,,,,U.S. Department of Labor,https://www.dol.gov/,,
USDeptVeteransAffairs,US Department of Veterans Affairs,http://www.va.gov,,,,U.S. Department of Veterans Affairs,https://www.va.gov/,,
usdoj,usdoj,,,,,U.S. Department of Justice,https://www.justice.gov/,,
usdot-fhwa-stol,USDOT FHWA STOL,https://highways.dot.gov/research,taylor.lochrane@dot.gov,Federal Highway Administration,https://cms8.fhwa.dot.gov/,U.S. Department of Transportation,https://www.transportation.gov/,Saxton Transportation Operations Laboratory (STOL?),
usdot-jpo-ode,US DOT ITS JPO ODE,https://www.its.dot.gov/,ariel.gold@dot.gov,Office of the Assistant Secretary for Research and Technology,https://www.transportation.gov/administrations/research-and-technology,U.S. Department of Transportation,https://www.transportation.gov/,US Department of Transportation (USDOT) Intelligent Transportation Systems Operational Data Environment (ITS ODE),
usds,U.S. Digital Service,https://www.usds.gov,,Office of Management and Budget,https://www.omb.gov,Executive Office of the President,https://www.whitehouse.gov/,,
useda,USEDA,,,U.S. Economic Development Administration,https://www.eda.gov/,U.S. Department of Commerce,https://www.commerce.gov/,,
usepa,U.S. Environmental Protection Agency,http://www.epa.gov,,,,U.S. Environmental Protection Agency,https://www.epa.gov/,,
USFWS,U.S. Fish and Wildlife Service,http://www.fws.gov,,U.S. Fish and Wildlife Service,https://www.fws.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
usg-scope,Statistical Community of Practice and Engagement,http://fedstats.sites.usa.gov/,,,,,,,
USGCRP,US Global Change Research Program,http://www.globalchange.gov,,,,,,"The U.S. Global Change Research Program (USGCRP) is a Federal program mandated by Congress to coordinate Federal research and investments in understanding the forces shaping the global environment, both human and natural, and their impacts on society. USGCRP facilitates collaboration and cooperation across its 13 Federal member agencies to advance understanding of the changing Earth system and maximize efficiencies in Federal global change research.",
usgpo,United States Government Publishing Office,http://www.gpo.gov,,U.S. Government Publishing Office,https://www.gpo.gov/,U.S. House of Representatives,https://www.house.gov/,,
usgs,U.S. Geological Survey,https://www.usgs.gov/,gs_help_git@usgs.gov,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
USGS-Astrogeology,USGS Astrogeology,http://usgs-astrogeology.github.io,jlaura@usgs.gov,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,The USGS Astrogeology Science Center public GitHub repositories.,
USGS-CIDA,USGS Center for Integrated Data Analytics,http://cida.usgs.gov,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
usgs-cmg,USGS Coastal and Marine Geology Program,http://marine.usgs.gov,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
usgs-eros,USGS-EROS,http://eros.usgs.gov,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,Organization for all USGS-EROS github repositories,
USGS-OWI,USGS - OWI,,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,USGS Office of Water Information,
USGS-R,USGS-R,https://owi.usgs.gov/R/,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
USGS-WiM,USGS Web Informatics and Mapping,https://wim.usgs.gov,,U.S. Geological Survey,https://www.usgs.gov/,U.S. Department of the Interior,https://www.doi.gov/,Web Informatics and Mapping (WIM) develops web-based tools that support USGS science and other federal initiatives.,
usindianaffairs,usindianaffairs,,,Bureau of Bureau of Indian Affairs,https://www.bia.gov/,U.S. Department of the Interior,https://www.doi.gov/,,
usinterior,The U.S. Department of the Interior,http://www.doi.gov,,,,U.S. Department of the Interior,https://www.doi.gov/,,
usnationalarchives,U.S. National Archives,https://www.archives.gov/developer,developer@nara.gov,,,National Archives and Records Administration,https://www.archives.gov/,,
USNavalResearchLaboratory,US Naval Research Laboratory,http://www.nrl.navy.mil,github@nrl.navy.mil,U.S. Navy,https://www.navy.mil/,Department of Defense,https://www.defense.gov/,,
USPS,United States Postal Service,https://usps.com,,,,U.S. postal Service,https://www.usps.com/,,
USPTO,U.S. Patent and Trademark Office,http://www.uspto.gov,contactUXD@uspto.gov,U.S. Patent and Trademark Office,https://www.uspto.gov/,U.S. Department of Commerce,https://www.commerce.gov/,,
USSBA,Small Business Administration,https://www.sba.gov,digitalservice@sba.gov,,,U.S. Small Business Administration,https://www.sba.gov/,,
usstatedept,U.S. Department of State,,,,,U.S. Department of State,https://www.state.gov/,The GitHub Organization for the U.S. Department of State.,
ustaxcourt,U.S. Tax Court,https://ustaxcourt.gov/,,,,U.S. Tax Court,https://www.ustaxcourt.gov/,,
uswds,U.S. Web Design System,https://designsystem.digital.gov,uswds@support.digitalgov.gov,Technology Transformation Services,https://www.gsa.gov/about-us/organization/federal-acquisition-service/technology-transformation-services,General Services Administration,https://www.gsa.gov/,,
VHAINNOVATIONS,VHA Innovations,http://vaftl.us,,,,,,"The VHA Innovation Program identifies, tests, and evaluates innovative solutions to help VA better serve Veterans?",
virtual-world-framework,Virtual World Framework,https://virtual.wf,,,,,,,
visionworkbench,Vision Workbench,http://ti.arc.nasa.gov/tech/asr/intelligent-robotics/nasa-vision-workbench/,,Ames Research Center,https://www.nasa.gov/ames,National Aeronautics and Space Administration,https://www.nasa.gov/,,
WFMRDA,Wildland Fire Management RD&A,,,NASA Ames Research Center,,,,,
whitehouse,The White House,https://www.whitehouse.gov/developers,,,,Executive Office of the President,https://www.whitehouse.gov/,,
XDgov,xD | U.S. Census Bureau,https://www.xd.gov/,inquiries@xd.gov,U.S. Census Bureau,https://www.census.gov/,U.S. Department of Commerce,https://www.commerce.gov/,xD is an emerging technologies group at the U.S. Census Bureau that partners with federal agencies and universities to improve the delivery of government services using artificial intelligence.,
